"","POLLSTER","START","END","SAMPLE","POPULATION","DEMPCT","REPPCT","OTHERPCT","ELAPSED","RECWGT","BIAS","WEIGHT","SAMPWEIGHT","POPWEIGHT","TOTWGT","DEMOCRATIC","REPUBLICAN"
"320","Morning Consult","7/18/22",2022-07-20,10763,"rv",45,42,NA,111,0.0655796692455535,1.90875,2,2.32096740131607,1.67,0.508375636856787,44.5228125,42.4771875
"321","Georgetown University (Battleground)","7/16/22",2022-07-20,800,"rv",48,46,NA,111,0.0655796692455535,0,1,1.67115293191698,1.67,0.183021406411534,48,46
"322","Morning Consult","7/17/22",2022-07-19,11109,"rv",45,42,NA,112,0.0613891283807626,1.90875,2,2.32887771739543,1.67,0.477512362408794,44.5228125,42.4771875
"323","YouGov","7/16/22",2022-07-19,1278,"rv",42.6,40.1,NA,112,0.0613891283807626,3.91115384615385,2,1.78826290873437,1.67,0.36666487028472,41.6222115384615,41.0777884615385
"324","Morning Consult","7/16/22",2022-07-18,11189,"rv",45,42,NA,113,0.0574663630772319,1.90875,2,2.33067160795193,1.67,0.447343637593447,44.5228125,42.4771875
"325","Echelon Insights","7/15/22",2022-07-18,1022,"lv",48,44,NA,113,0.0574663630772319,1.49,2,1.73237919269091,2,0.398214126698471,47.6275,44.3725
"326","Echelon Insights","7/15/22",2022-07-18,1022,"rv",49,42,NA,113,0.0574663630772319,1.49,2,1.73237919269091,1.67,0.332508795793224,48.6275,42.3725
"327","Quinnipiac University","7/14/22",2022-07-18,1523,"a",43,44,NA,113,0.0574663630772319,5.5,2,1.83210933822379,1,0.210569320855111,41.625,45.375
"328","Quinnipiac University","7/14/22",2022-07-18,1367,"rv",45,44,NA,113,0.0574663630772319,5.5,2,1.80509345918099,1.67,0.346465401419528,43.625,45.375
"329","Morning Consult","7/15/22",2022-07-17,2005,"rv",45,41,NA,114,0.0537942624765968,1.90875,2,1.90084983493517,1.67,0.341531081929988,44.5228125,41.4771875
"330","Morning Consult","7/15/22",2022-07-17,10578,"rv",45,42,NA,114,0.0537942624765968,1.90875,2,2.31663291290648,1.67,0.41623600698924,44.5228125,42.4771875
"331","Morning Consult","7/14/22",2022-07-16,10168,"rv",45,42,NA,115,0.0503568091043423,1.90875,2,2.30675020321732,1.67,0.38797633598029,44.5228125,42.4771875
"332","GQR Research (GQRR)","7/8/22",2022-07-16,1000,"rv",50,48,NA,115,0.0503568091043423,4.095,2,1.72693881974553,1.67,0.290456849125885,48.97625,49.02375
"333","Big Village/Opinion Research Corporation","7/13/22",2022-07-15,1008,"a",39.3,38,NA,116,0.0471390090025748,0,1,1.72893086215783,1,0.0815000874760873,39.3,38
"334","Big Village/Opinion Research Corporation","7/13/22",2022-07-15,851,"rv",44.5,40.7,NA,116,0.0471390090025748,0,1,1.68660303214334,1.67,0.132773008511678,44.5,40.7
"335","Morning Consult","7/13/22",2022-07-15,9936,"rv",45,42,NA,116,0.0471390090025748,1.90875,2,2.30097995104332,1.67,0.362276154854096,44.5228125,42.4771875
"336","Morning Consult","7/12/22",2022-07-14,10409,"rv",45,42,NA,117,0.0441268263273102,1.90875,2,2.31260652387887,1.67,0.340840274718309,44.5228125,42.4771875
"337","Rasmussen Reports/Pulse Opinion Research","7/10/22",2022-07-14,2500,"lv",39,47,NA,117,0.0441268263273102,-4.13,2,1.95601150271407,2,0.34525031949794,40.0325,45.9675
"338","Morning Consult","7/11/22",2022-07-13,10391,"rv",45,42,NA,118,0.0413071221249951,1.90875,2,2.31217383146316,1.67,0.319000884413759,44.5228125,42.4771875
"339","Fox News/Beacon Research/Shaw & Co. Research","7/10/22",2022-07-13,1001,"rv",41,44,NA,118,0.0413071221249951,1.055,2,1.7271886948288,1.67,0.238292949129683,40.73625,44.26375
"340","SSRS","6/13/22",2022-07-13,1203,"rv",46,46,NA,118,0.0413071221249951,6.54,2,1.77314342899367,1.67,0.244633130236358,44.365,47.635
"341","Morning Consult","7/10/22",2022-07-12,10821,"rv",45,42,NA,119,0.0386675970212079,1.90875,2,2.32231099239291,1.67,0.299925939943314,44.5228125,42.4771875
"342","YouGov","7/9/22",2022-07-11,1304,"rv",43,39.6,NA,120,0.0361967375715528,3.91115384615385,2,1.79329793562165,1.67,0.216804526109436,42.0222115384615,40.5777884615385
"343","Morning Consult","7/9/22",2022-07-11,10712,"rv",45,42,NA,120,0.0361967375715528,1.90875,2,2.31977997184275,1.67,0.280454679327551,44.5228125,42.4771875
"344","YouGov","7/8/22",2022-07-11,1672,"a",37,32,NA,120,0.0361967375715528,3.91115384615385,2,1.85544394841116,1,0.134322035358729,36.0222115384615,32.9777884615385
"345","YouGov","7/8/22",2022-07-11,1262,"rv",43,39,NA,120,0.0361967375715528,3.91115384615385,2,1.78511326077529,1.67,0.215815022627512,42.0222115384615,39.9777884615385
"346","Morning Consult","7/8/22",2022-07-10,2005,"rv",46,42,NA,121,0.0338837660407305,1.90875,2,1.90084983493517,1.67,0.215122556625585,45.5228125,42.4771875
"347","Morning Consult","7/8/22",2022-07-10,11151,"rv",45,42,NA,121,0.0338837660407305,1.90875,2,2.32982111474134,1.67,0.26366999931929,44.5228125,42.4771875
"348","NBC News/The Wall Street Journal","7/7/22",2022-07-10,NA,"rv",42,44,NA,121,0.0338837660407305,2.8,2,0,1.67,0,41.3,44.7
"349","Axis Research","7/5/22",2022-07-10,1219,"lv",46,41,NA,121,0.0338837660407305,0,1,1.77644653237032,2,0.120385397373406,46,41
"350","Morning Consult","7/7/22",2022-07-09,11163,"rv",45,42,NA,122,0.0317185933907279,1.90875,2,2.33009000425368,1.67,0.246849972545131,44.5228125,42.4771875
"351","Morning Consult","7/6/22",2022-07-08,11515,"rv",45,42,NA,123,0.0296917752730603,1.90875,2,2.3378514530637,1.67,0.231845966286991,44.5228125,42.4771875
"352","Rasmussen Reports/Pulse Opinion Research","7/5/22",2022-07-07,2000,"lv",40,48,NA,124,0.0277944708331118,-4.13,2,1.90022561488552,2,0.21126306171707,41.0325,46.9675
"353","Siena College/The New York Times Upshot","7/5/22",2022-07-07,849,"rv",41,40,NA,124,0.0277944708331118,4.55,1,1.68601479657784,1.67,0.0782593547764216,39.8625,41.1375
"354","Siena College/The New York Times Upshot","7/5/22",2022-07-07,849,"lv",43,44,NA,124,0.0277944708331118,4.55,1,1.68601479657784,2,0.0937237781753552,41.8625,45.1375
"355","OnMessage Inc.","7/5/22",2022-07-07,800,"lv",42,47,NA,124,0.0277944708331118,-2.43837072137484,1,1.67115293191698,2,0.0928976228476716,42.6095926803437,46.3904073196563
"356","Morning Consult","7/5/22",2022-07-07,12161,"rv",45,42,NA,124,0.0277944708331118,1.90875,2,2.35149734724525,1.67,0.218297805603374,44.5228125,42.4771875
"357","Ipsos","7/5/22",2022-07-06,1003,"a",34,35,NA,125,0.026018404146876,2.639375,2,1.72768769699048,1,0.0899033534797675,33.34015625,35.65984375
"358","Opinion Savvy/InsiderAdvantage","7/5/22",2022-07-06,825,"lv",42,50,NA,125,0.026018404146876,1.02055403434569,1,1.67884584658367,2,0.0873617794734361,41.7448614914136,50.2551385085864
"359","Morning Consult","7/4/22",2022-07-06,12945,"rv",45,42,NA,125,0.026018404146876,1.90875,2,2.36711622304641,1.67,0.205705879089852,44.5228125,42.4771875
"360","PureSpectrum","6/8/22",2022-07-06,24414,"a",52,48,NA,125,0.026018404146876,0,1,2.52572800430744,1,0.0657154119811533,52,48
"361","Ipsos","6/27/22",2022-07-05,887,"lv",39,38,NA,126,0.0243558281218906,2.639375,2,1.69696124557739,2,0.16532358570717,38.34015625,38.65984375
"362","Morning Consult","7/3/22",2022-07-05,13605,"rv",45,42,NA,126,0.0243558281218906,1.90875,2,2.37954816280434,1.67,0.193572592643817,44.5228125,42.4771875
"363","YouGov","7/2/22",2022-07-05,1343,"rv",42.5,40.4,NA,126,0.0243558281218906,3.91115384615385,2,1.80066529913081,1.67,0.14648135973248,41.5222115384615,41.3777884615385
"364","Data for Progress","7/1/22",2022-07-05,1353,"lv",45,46,NA,126,0.0243558281218906,5.645,2,1.8025199070427,2,0.175607460168872,43.58875,47.41125
"365","Ipsos","6/27/22",2022-07-05,1549,"a",29,29,NA,126,0.0243558281218906,2.639375,2,1.83634121010422,1,0.0894512217728857,28.34015625,29.65984375
"366","Morning Consult","7/2/22",2022-07-04,13429,"rv",45,42,NA,127,0.0227994907049018,1.90875,2,2.37629295664529,1.67,0.180955419051707,44.5228125,42.4771875
"367","Big Village/Opinion Research Corporation","7/1/22",2022-07-03,1008,"a",40.5,36.3,NA,128,0.0213426032488586,0,1,1.72893086215783,1,0.0368998854357415,40.5,36.3
"368","Big Village/Opinion Research Corporation","7/1/22",2022-07-03,827,"rv",47.4,41.6,NA,128,0.0213426032488586,0,1,1.67945117375592,1.67,0.0598592463290951,47.4,41.6
"369","Morning Consult","7/1/22",2022-07-03,12508,"rv",46,42,NA,128,0.0213426032488586,1.90875,2,2.35853092964443,1.67,0.168126214204419,45.5228125,42.4771875
"370","Morning Consult","6/30/22",2022-07-02,11619,"rv",45,41,NA,129,0.0199788109012565,1.90875,2,2.34009924204572,1.67,0.156153016824997,44.5228125,41.4771875
"371","Morning Consult","6/29/22",2022-07-01,11128,"rv",45,42,NA,130,0.0187021648846662,1.90875,2,2.32930493340082,1.67,0.145500570069969,44.5228125,42.4771875
"372","Center Street PAC","6/30/22",2022-06-30,1084,"rv",41,45,NA,131,0.017507096548536,0,1,1.7471032954999,1.67,0.0510797991445522,41,45
"373","Center Street PAC","6/30/22",2022-06-30,547,"lv",41,49,NA,131,0.017507096548536,0,1,1.5761122006055,2,0.055186296934652,41,49
"374","Harris Insights & Analytics","6/29/22",2022-06-30,1311,"rv",50,50,NA,131,0.017507096548536,-0.633333333333333,2,1.79463637094092,1.67,0.104939033200027,50.1583333333333,49.8416666666667
"375","Morning Consult","6/28/22",2022-06-30,11370,"rv",45,42,NA,131,0.017507096548536,1.90875,2,2.33468339668615,1.67,0.136517582304402,44.5228125,42.4771875
"376","Rasmussen Reports/Pulse Opinion Research","6/26/22",2022-06-30,2500,"lv",42,47,NA,131,0.017507096548536,-4.13,2,1.95601150271407,2,0.136976328912249,43.0325,45.9675
"377","Emerson College","6/28/22",2022-06-29,1271,"rv",43.3,45.7,NA,132,0.0163883930790846,-0.25,1,1.78688981779736,1.67,0.0489047020475386,43.3625,45.6375
"378","Morning Consult","6/27/22",2022-06-29,11802,"rv",45,42,NA,132,0.0163883930790846,1.90875,2,2.34400607190428,1.67,0.128304406239669,44.5228125,42.4771875
"379","Morning Consult","6/26/22",2022-06-28,12498,"rv",45,42,NA,133,0.0153411747613311,1.90875,2,2.35833097762226,1.67,0.120839756027031,44.5228125,42.4771875
"380","YouGov","6/25/22",2022-06-28,776,"rv",40,45,NA,133,0.0153411747613311,3.91115384615385,2,1.6635381300458,1.67,0.0852389014450698,39.0222115384615,45.9777884615385
"381","Cor Services, Inc.","6/25/22",2022-06-27,518,"lv",42,46,NA,134,0.014360873694082,0,1,1.56249381056487,2,0.0448775525226141,42,46
"382","Morning Consult","6/25/22",2022-06-27,12652,"rv",45,42,NA,134,0.014360873694082,1.90875,2,2.36139264610638,1.67,0.113264949519779,44.5228125,42.4771875
"383","YouGov","6/24/22",2022-06-27,1237,"rv",45,38,NA,134,0.014360873694082,3.91115384615385,2,1.78011109309812,1.67,0.0853835949018508,44.0222115384615,38.9777884615385
"384","YouGov","6/24/22",2022-06-27,1630,"a",39,32,NA,134,0.014360873694082,3.91115384615385,2,1.8490838234502,1,0.0531089184766772,38.0222115384615,32.9777884615385
"385","Monmouth University","6/23/22",2022-06-27,978,"a",47,47,NA,134,0.014360873694082,3.9,1,1.7213774175087,1,0.0247204836726876,46.025,47.975
"386","Monmouth University","6/23/22",2022-06-27,910,"rv",46,48,NA,134,0.014360873694082,3.9,1,1.70336114987772,1.67,0.0408511297290965,45.025,48.975
"387","Public Opinion Strategies","6/22/22",2022-06-27,1000,"rv",42,39,NA,134,0.014360873694082,6.27333333333333,1,1.72693881974553,1.67,0.0414165849471804,40.4316666666667,40.5683333333333
"388","Morning Consult","6/24/22",2022-06-26,12130,"rv",44,42,NA,135,0.0134432138650302,1.90875,2,2.35085925048452,1.67,0.105554366260632,43.5228125,42.4771875
"389","Marist College","6/24/22",2022-06-25,868,"rv",48,41,NA,136,0.0125841924990548,-0.2575,2,1.69154792866509,1.67,0.071097794284034,48.064375,40.935625
"390","Morning Consult","6/24/22",2022-06-25,2005,"rv",45,42,NA,136,0.0125841924990548,1.90875,2,1.90084983493517,1.67,0.0798950051836328,44.5228125,42.4771875
"391","Morning Consult","6/23/22",2022-06-25,11503,"rv",44,42,NA,136,0.0125841924990548,1.90875,2,2.337590787474,1.67,0.0982517527949901,43.5228125,42.4771875
"392","Morning Consult","6/22/22",2022-06-24,11267,"rv",44,43,NA,137,0.0117800625983652,1.90875,2,2.33240834454104,1.67,0.0917695604541666,43.5228125,43.4771875
"393","Echelon Insights","6/17/22",2022-06-24,2031,"rv",45,46,NA,137,0.0117800625983652,1.49,2,1.9040708903951,1.67,0.0749164480971342,44.6275,46.3725
"394","Morning Consult","6/21/22",2022-06-23,11782,"rv",44,43,NA,138,0.0110273165983296,1.90875,2,2.34358205552041,1.67,0.0863170271432948,43.5228125,43.4771875
"395","Trafalgar Group","6/20/22",2022-06-23,1079,"lv",39.8,49.4,NA,138,0.0110273165983296,-2.20909966960854,1,1.74594749131453,2,0.0385062315015694,40.3522749174021,48.8477250825979
"396","Rasmussen Reports/Pulse Opinion Research","6/19/22",2022-06-23,2500,"lv",40,48,NA,138,0.0110273165983296,-4.13,2,1.95601150271407,2,0.0862782324416102,41.0325,46.9675
"397","Morning Consult","6/20/22",2022-06-22,12180,"rv",44,43,NA,139,0.0103226710676964,1.90875,2,2.35188763531597,1.67,0.0810877265748136,43.5228125,43.4771875
"398","McLaughlin & Associates","6/17/22",2022-06-22,1000,"lv",44,48,NA,139,0.0103226710676964,-7.86,1,1.72693881974553,2,0.0356532427805379,45.965,46.035
"399","NewsNation","6/20/22",2022-06-21,1006,"rv",42.58,42.76,NA,140,0.00966305238647056,0,1,1.72843433766492,1.67,0.0278922590908892,42.58,42.76
"400","Morning Consult","6/19/22",2022-06-21,13077,"rv",44,43,NA,140,0.00966305238647056,1.90875,2,2.36965256022663,1.67,0.0764795766028613,43.5228125,43.4771875
"401","YouGov","6/17/22",2022-06-21,770,"rv",41,45,NA,140,0.00966305238647056,3.91115384615385,2,1.66159762871193,1.67,0.0536273904711387,40.0222115384615,45.9777884615385
"402","Morning Consult","6/18/22",2022-06-20,13506,"rv",44,42,NA,141,0.00904558333897509,1.90875,2,2.3777223275337,1.67,0.0718363374719639,43.5228125,42.4771875
"403","Echelon Insights","6/17/22",2022-06-20,1030,"lv",47,46,NA,141,0.00904558333897509,1.49,2,1.73432852030592,2,0.0627520526703542,46.6275,46.3725
"404","Echelon Insights","6/17/22",2022-06-20,1030,"rv",47,45,NA,141,0.00904558333897509,1.49,2,1.73432852030592,1.67,0.0523979639797458,46.6275,45.3725
"405","Morning Consult","6/17/22",2022-06-20,2004,"rv",42,42,NA,141,0.00904558333897509,1.90875,2,1.90072511555119,1.67,0.0574251792402525,41.5228125,42.4771875
"406","OnMessage Inc.","6/17/22",2022-06-19,800,"lv",43,47,NA,142,0.00846757056361459,-2.43837072137484,1,1.67115293191698,2,0.0283012107471969,43.6095926803437,46.3904073196563
"407","Morning Consult","6/17/22",2022-06-19,11952,"rv",44,42,NA,142,0.00846757056361459,1.90875,2,2.34716347684315,1.67,0.0663817396974578,43.5228125,42.4771875
"408","Cygnal","6/16/22",2022-06-18,5753,"lv",44.7,48.9,NA,143,0.00792649280459961,3.7073417949916,1,2.16436918421582,2,0.0343117135303677,43.7731645512521,49.8268354487479
"409","Morning Consult","6/16/22",2022-06-18,9812,"rv",44,42,NA,143,0.00792649280459961,1.90875,2,2.2978403513446,1.67,0.0608341421369123,43.5228125,42.4771875
"410","Big Village/Opinion Research Corporation","6/15/22",2022-06-17,1012,"a",38.8,36.9,NA,144,0.0074199899143857,0,1,1.72992096246185,1,0.0128359960941513,38.8,36.9
"411","Big Village/Opinion Research Corporation","6/15/22",2022-06-17,836,"rv",43.6,42.2,NA,144,0.0074199899143857,0,1,1.68215715327118,1.67,0.0208442538165121,43.6,42.2
"412","Morning Consult","6/15/22",2022-06-17,7947,"rv",44,42,NA,144,0.0074199899143857,1.90875,2,2.24513744448504,1.67,0.0556407166295923,43.5228125,42.4771875
"413","Morning Consult","6/14/22",2022-06-16,8728,"rv",44,42,NA,145,0.00694585255885645,1.90875,2,2.26857288187823,1.67,0.0526289570068644,43.5228125,42.4771875
"414","Rasmussen Reports/Pulse Opinion Research","6/12/22",2022-06-16,2500,"lv",41,46,NA,145,0.00694585255885645,-4.13,2,1.95601150271407,2,0.0543446700051168,42.0325,44.9675
"415","Morning Consult","6/13/22",2022-06-15,9619,"rv",44,42,NA,146,0.00650201258034553,1.90875,2,2.29287389703815,1.67,0.0497937050451177,43.5228125,42.4771875
"416","Suffolk University","6/12/22",2022-06-15,1000,"rv",40,39.5,NA,146,0.00650201258034553,4.0675,2,1.72693881974553,1.67,0.0375034502911182,38.983125,40.516875
"417","Morning Consult","6/12/22",2022-06-14,11179,"rv",44,42,NA,147,0.00608653397646145,1.90875,2,2.33044807431758,1.67,0.0473757336249418,43.5228125,42.4771875
"418","YouGov","6/11/22",2022-06-14,749,"rv",42,46,NA,147,0.00608653397646145,3.91115384615385,2,1.6546847458793,1.67,0.0336381250532637,41.0222115384615,46.9777884615385
"419","Morning Consult","6/11/22",2022-06-13,11169,"rv",44,42,NA,148,0.00569760445536556,1.90875,2,2.33022434063521,1.67,0.0443441665945828,43.5228125,42.4771875
"420","Fox News/Beacon Research/Shaw & Co. Research","6/10/22",2022-06-13,1002,"rv",44,47,NA,148,0.00569760445536556,1.055,2,1.7274383204112,1.67,0.0328731493042852,43.73625,47.26375
"421","YouGov","6/10/22",2022-06-13,1541,"a",38,34,NA,148,0.00569760445536556,3.91115384615385,2,1.83504670883003,1,0.0209107406080678,37.0222115384615,34.9777884615385
"422","YouGov","6/10/22",2022-06-13,1246,"rv",43,39,NA,148,0.00569760445536556,3.91115384615385,2,1.78192342483685,1.67,0.0339100007805321,42.0222115384615,39.9777884615385
"423","GQR Research (GQRR)","6/4/22",2022-06-12,1000,"rv",47,49,NA,149,0.0053335275306677,4.095,2,1.72693881974553,1.67,0.0307636569678979,45.97625,50.02375
"424","Morning Consult","6/10/22",2022-06-12,2005,"rv",44,42,NA,149,0.0053335275306677,1.90875,2,1.90084983493517,1.67,0.0338617046538149,43.5228125,42.4771875
"425","Morning Consult","6/10/22",2022-06-12,9997,"rv",44,42,NA,149,0.0053335275306677,1.90875,2,2.3025100817418,1.67,0.0410168730414368,43.5228125,42.4771875
"426","Morning Consult","6/9/22",2022-06-11,9332,"rv",43,42,NA,150,0.00499271512145804,1.90875,2,2.28530115828533,1.67,0.0381089245511895,42.5228125,42.4771875
"427","Morning Consult","6/8/22",2022-06-10,9161,"rv",43,42,NA,151,0.00467368062519687,1.90875,2,2.2806776555038,1.67,0.0356015909626308,42.5228125,42.4771875
"428","Morning Consult","6/7/22",2022-06-09,10087,"rv",43,42,NA,152,0.00437503243324679,1.90875,2,2.30475068626371,1.67,0.0336784190698581,42.5228125,42.4771875
"429","Rasmussen Reports/Pulse Opinion Research","6/5/22",2022-06-09,2500,"lv",39,48,NA,152,0.00437503243324679,-4.13,2,1.95601150271407,2,0.0342304550567114,40.0325,46.9675
"430","ALG Research","6/2/22",2022-06-09,2000,"lv",47,44,NA,152,0.00437503243324679,0.93,1,1.90022561488552,2,0.0166270973912209,46.7675,44.2325
"431","Morning Consult","6/6/22",2022-06-08,9966,"rv",44,42,NA,153,0.00409546786076232,1.90875,2,2.30173364471034,1.67,0.0314850983942613,43.5228125,42.4771875
"432","Ipsos","6/6/22",2022-06-07,1005,"a",39,37,NA,154,0.00383376746445961,2.639375,2,1.72818570512329,1,0.0132509242576917,38.34015625,37.65984375
"433","Morning Consult","6/5/22",2022-06-07,10453,"rv",44,43,NA,154,0.00383376746445961,1.90875,2,2.31366107438318,1.67,0.029625928759528,43.5228125,43.4771875
"434","YouGov","6/4/22",2022-06-07,821,"rv",43,45,NA,154,0.00383376746445961,3.91115384615385,2,1.67763077736311,1.67,0.0214816986140467,42.0222115384615,45.9777884615385
"435","Global Strategy Group","6/1/22",2022-06-07,1000,"lv",45,47,NA,154,0.00383376746445961,5.24,2,1.72693881974553,2,0.0264827274410108,43.69,48.31
"436","Ipsos","5/26/22",2022-06-06,711,"lv",35,42,NA,155,0.00358878972348064,2.639375,2,1.64166810745081,2,0.0235664065335415,34.34015625,42.65984375
"437","Morning Consult","6/4/22",2022-06-06,10507,"rv",44,43,NA,155,0.00358878972348064,1.90875,2,2.31494924517219,1.67,0.0277482726452538,43.5228125,43.4771875
"438","Quinnipiac University","6/3/22",2022-06-06,1576,"a",40,44,NA,155,0.00358878972348064,5.5,2,1.84066131760446,1,0.0132114928420544,38.625,45.375
"439","Quinnipiac University","6/3/22",2022-06-06,1413,"rv",41,46,NA,155,0.00358878972348064,5.5,2,1.81336759567113,1.67,0.0217360352740727,39.625,47.375
"440","Ipsos","5/26/22",2022-06-06,1691,"a",27,29,NA,155,0.00358878972348064,2.639375,2,1.85826883722464,1,0.0133378722129922,26.34015625,29.65984375
"441","Morning Consult","6/4/22",2022-06-05,2006,"rv",42,42,NA,156,0.00335946606015022,1.90875,2,1.90097449213047,1.67,0.0213301060203289,41.5228125,42.4771875
"442","Morning Consult","6/3/22",2022-06-05,10527,"rv",44,43,NA,156,0.00335946606015022,1.90875,2,2.31542466606283,1.67,0.025980492538779,43.5228125,43.4771875
"443","Morning Consult","6/2/22",2022-06-04,10631,"rv",44,42,NA,157,0.00314479617890663,1.90875,2,2.31788238507215,1.67,0.0243461540102178,43.5228125,42.4771875
"444","Big Village/Opinion Research Corporation","6/1/22",2022-06-03,1004,"a",37.4,38,NA,158,0.00294384370307449,0,1,1.72793682506292,1,0.005086775941772,37.4,38
"445","Big Village/Opinion Research Corporation","6/1/22",2022-06-03,822,"rv",43,43.8,NA,158,0.00294384370307449,0,1,1.67793509876404,1.67,0.00824909638668923,43,43.8
"446","Morning Consult","6/1/22",2022-06-03,10989,"rv",44,43,NA,158,0.00294384370307449,1.90875,2,2.32616251286173,1.67,0.0228718486118253,43.5228125,43.4771875
"447","Morning Consult","5/31/22",2022-06-02,11847,"rv",44,43,NA,159,0.00275573209044803,1.90875,2,2.34495748748869,1.67,0.02158332916069,43.5228125,43.4771875
"448","Rasmussen Reports/Pulse Opinion Research","5/29/22",2022-06-02,2500,"lv",40,48,NA,159,0.00275573209044803,-4.13,2,1.95601150271407,2,0.0215609746692586,41.0325,46.9675
"449","Morning Consult","5/30/22",2022-06-01,12394,"rv",44,42,NA,160,0.0025796408098684,1.90875,2,2.35624194088051,1.67,0.0203013812811871,43.5228125,42.4771875
"450","Morning Consult","5/29/22",2022-05-31,13228,"rv",44,42,NA,161,0.00241480176211781,1.90875,2,2.37252276852542,1.67,0.0191354350214134,43.5228125,42.4771875
"451","YouGov","5/28/22",2022-05-31,776,"rv",43,43,NA,161,0.00241480176211781,3.91115384615385,2,1.6635381300458,1.67,0.0134171634580012,42.0222115384615,43.9777884615385
"452","Morning Consult","5/28/22",2022-05-30,13249,"rv",43,42,NA,162,0.00226049592951848,1.90875,2,2.37291933921703,1.67,0.0179156748546351,42.5228125,42.4771875
"453","Morning Consult","5/27/22",2022-05-29,12522,"rv",43,43,NA,163,0.00211605023962225,1.90875,2,2.35881059407631,1.67,0.0166711481542144,42.5228125,43.4771875
"454","Morning Consult","5/26/22",2022-05-28,12058,"rv",43,42,NA,164,0.00198083462931039,1.90875,2,2.34937090476234,1.67,0.0155434089191267,42.5228125,42.4771875
"455","Morning Consult","5/25/22",2022-05-27,11966,"rv",43,42,NA,165,0.00185425929649746,1.90875,2,2.34745614348749,1.67,0.0145383265397871,42.5228125,42.4771875
"456","The Winston Group","5/25/22",2022-05-26,1000,"rv",44,45,NA,166,0.00173577212745127,0.74,2,1.72693881974553,1.67,0.0100118913788872,43.815,45.185
"457","Morning Consult","5/24/22",2022-05-26,12406,"rv",43,42,NA,166,0.00173577212745127,1.90875,2,2.35648387638327,1.67,0.0136616655649241,42.5228125,42.4771875
"458","Rasmussen Reports/Pulse Opinion Research","5/22/22",2022-05-26,2500,"lv",41,47,NA,166,0.00173577212745127,-4.13,2,1.95601150271407,2,0.0135807609895406,42.0325,45.9675
"459","Emerson College","5/24/22",2022-05-25,1148,"rv",42.3,45.2,NA,167,0.00162485628850713,-0.25,1,1.76144414421988,1.67,0.00477969630296486,42.3625,45.1375
"460","Morning Consult","5/23/22",2022-05-25,12466,"rv",43,43,NA,167,0.00162485628850713,1.90875,2,2.3576900543422,1.67,0.0127952310872365,42.5228125,43.4771875
"461","Morning Consult","5/22/22",2022-05-24,12867,"rv",44,43,NA,168,0.00152102797167153,1.90875,2,2.36560529329625,1.67,0.0120178270822663,43.5228125,43.4771875
"462","YouGov","5/21/22",2022-05-24,908,"rv",41,45,NA,168,0.00152102797167153,3.91115384615385,2,1.70281109465032,1.67,0.00865067784015543,40.0222115384615,45.9777884615385
"463","Morning Consult","5/21/22",2022-05-23,12738,"rv",44,43,NA,169,0.00142383428428172,1.90875,2,2.36308623273283,1.67,0.0112379082708963,43.5228125,43.4771875
"464","Echelon Insights","5/20/22",2022-05-23,1020,"rv",46,43,NA,169,0.00142383428428172,1.49,2,1.73188947656958,1.67,0.00823618486851046,45.6275,43.3725
"465","Echelon Insights","5/20/22",2022-05-23,1020,"lv",45,45,NA,169,0.00142383428428172,1.49,2,1.73188947656958,2,0.00986369445330594,44.6275,45.3725
"466","Morning Consult","5/20/22",2022-05-22,2005,"rv",45,41,NA,170,0.00133285127351612,1.90875,2,1.90084983493517,1.67,0.00846205741167583,44.5228125,41.4771875
"467","Morning Consult","5/20/22",2022-05-22,11578,"rv",44,42,NA,170,0.00133285127351612,1.90875,2,2.33921550615974,1.67,0.0104135400638216,43.5228125,42.4771875
"468","YouGov","5/19/22",2022-05-22,1369,"rv",42,38,NA,170,0.00133285127351612,3.91115384615385,2,1.80545895632211,1.67,0.00803740361917812,41.0222115384615,38.9777884615385
"469","YouGov","5/19/22",2022-05-22,1573,"a",38,36,NA,170,0.00133285127351612,3.91115384615385,2,1.84018497576457,1,0.00490538577690606,37.0222115384615,36.9777884615385
"470","Morning Consult","5/19/22",2022-05-21,10614,"rv",44,42,NA,171,0.00124768207713844,1.90875,2,2.31748229084696,1.67,0.00965754693537409,43.5228125,42.4771875
"471","Big Village/Opinion Research Corporation","5/18/22",2022-05-20,1011,"a",37.3,37.6,NA,172,0.00116795519240929,0,1,1.72967380475512,1,0.00202018150143807,37.3,37.6
"472","Big Village/Opinion Research Corporation","5/18/22",2022-05-20,825,"rv",42.9,43.2,NA,172,0.00116795519240929,0,1,1.67884584658367,1.67,0.00327456392869952,42.9,43.2
"473","Morning Consult","5/18/22",2022-05-20,9659,"rv",44,42,NA,172,0.00116795519240929,1.90875,2,2.29391135054482,1.67,0.00894848014713675,43.5228125,42.4771875
"474","NewsNation","5/18/22",2022-05-19,1009,"rv",41.15,43.27,NA,173,0.00109332285561434,0,1,1.7291787550884,1.67,0.0031572195928161,41.15,43.27
"475","Harris Insights & Analytics","5/18/22",2022-05-19,1963,"rv",49,51,NA,173,0.00109332285561434,-0.633333333333333,2,1.89555729856912,1.67,0.00692200343629829,49.1583333333333,50.8416666666667
"476","Morning Consult","5/17/22",2022-05-19,9985,"rv",44,42,NA,173,0.00109332285561434,1.90875,2,2.30220981146248,1.67,0.00840697574167361,43.5228125,42.4771875
