POLLSTER,STATE,START,END,SAMPLE,POPULATION,DEM1,DEM1PCT,REP1,REP1PCT,OTHER1,OTHER1PCT,DEM2,DEM2PCT,DEM3,DEM3PCT,REP2,REP2PCT,REP3,REP3PCT
Emerson College,NH,10/18/22,10/19/22,727,lv,Maggie Hassan,49.5,Donald C. Bolduc,45.4,,,,,,,,,,
"Fabrizio, Lee & Associates",NH,10/17/22,10/19/22,600,lv,Maggie Hassan,49,Donald C. Bolduc,47,,,,,,,,,,
Data for Progress,NH,10/14/22,10/19/22,1392,lv,Maggie Hassan,50,Donald C. Bolduc,44,,,,,,,,,,
BSP Research/Shaw & Company Research,NV,10/12/22,10/19/22,721,lv,Catherine Cortez Masto,47,Adam Paul Laxalt,45,,,,,,,,,,
YouGov,NV,10/14/22,10/19/22,1057,lv,Catherine Cortez Masto,48,Adam Paul Laxalt,49,,,,,,,,,,
Data for Progress,NV,10/13/22,10/19/22,819,lv,Catherine Cortez Masto,48,Adam Paul Laxalt,49,,,,,,,,,,
BSP Research/Shaw & Company Research,NV,10/12/22,10/19/22,1000,rv,Catherine Cortez Masto,44,Adam Paul Laxalt,42,,,,,,,,,,
University of Nevada,NV,10/5/22,10/19/22,586,lv,Catherine Cortez Masto,52,Adam Paul Laxalt,39,,,,,,,,,,
Siena College,OH,10/14/22,10/19/22,644,lv,Tim Ryan,46,J.D. Vance,46,,,,,,,,,,
Garin-Hart-Yang Research Group,PA,10/17/22,10/19/22,504,lv,John Fetterman,46,Mehmet Oz,44,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,PA,10/19/22,10/19/22,550,lv,John Fetterman,46.3,Mehmet Oz,45.5,,,,,,,,,,
SurveyUSA,WA,10/14/22,10/19/22,589,lv,Patty Murray,49,Tiffany Smiley,41,,,,,,,,,,
Hendrix College,AR,10/17/22,10/18/22,974,lv,Natalie James,32,John Boozman,52,,,,,,,,,,
Susquehanna Polling & Research Inc.,AZ,10/14/22,10/18/22,600,lv,Mark Kelly,47.7,Blake Masters,44.5,,,,,,,,,,
Civiqs,CO,10/15/22,10/18/22,600,lv,Michael Bennet,54,Joe O'Dea,41,,,,,,,,,,
East Carolina University,GA,10/13/22,10/18/22,905,lv,Raphael Warnock,48.7,Herschel Junior Walker,46.5,,,,,,,,,,
Change Research,IA,10/14/22,10/18/22,1008,lv,Michael Franken,45,Chuck Grassley,48,,,,,,,,,,
WPA Intelligence (WPAi),NV,10/16/22,10/18/22,500,lv,Catherine Cortez Masto,43,Adam Paul Laxalt,45,,,,,,,,,,
SurveyUSA,NY,10/14/22,10/18/22,702,lv,Charles E. Schumer,52,Joe Pinion,38,,,,,,,,,,
Cygnal,OH,10/14/22,10/18/22,1438,lv,Tim Ryan,43.2,J.D. Vance,47.3,,,,,,,,,,
Data for Progress,OR,10/16/22,10/18/22,1021,lv,Ron Wyden,51,Jo Rae Perkins,40,,,,,,,,,,
Civiqs,OR,10/15/22,10/18/22,804,lv,Ron Wyden,55,Jo Rae Perkins,38,,,,,,,,,,
Civiqs,WA,10/15/22,10/18/22,698,lv,Patty Murray,55,Tiffany Smiley,41,,,,,,,,,,
Trafalgar Group,AZ,10/16/22,10/17/22,1078,lv,Mark Kelly,47.4,Blake Masters,46.4,,,,,,,,,,
Data for Progress,AZ,10/11/22,10/17/22,893,lv,Mark Kelly,47,Blake Masters,47,,,,,,,,,,
Landmark Communications,GA,10/15/22,10/17/22,500,lv,Raphael Warnock,46.1,Herschel Junior Walker,46,,,,,,,,,,
Data for Progress,GA,10/13/22,10/17/22,984,lv,Raphael Warnock,48,Herschel Junior Walker,47,,,,,,,,,,
Rasmussen Reports/Pulse Opinion Research,NV,10/13/22,10/17/22,707,lv,Catherine Cortez Masto,43,Adam Paul Laxalt,48,,,,,,,,,,
SSRS,PA,10/13/22,10/17/22,901,rv,John Fetterman,52,Mehmet Oz,41,,,,,,,,,,
SSRS,PA,10/13/22,10/17/22,703,lv,John Fetterman,51,Mehmet Oz,45,,,,,,,,,,
SSRS,WI,10/13/22,10/17/22,905,rv,Mandela Barnes,48,Ron Johnson,45,,,,,,,,,,
SSRS,WI,10/13/22,10/17/22,714,lv,Mandela Barnes,49,Ron Johnson,50,,,,,,,,,,
Florida Atlantic University,FL,10/12/22,10/16/22,719,lv,Val Demings,42,Marco Rubio,47.7,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,GA,10/16/22,10/16/22,550,lv,Raphael Warnock,46.3,Herschel Junior Walker,43.4,,,,,,,,,,
Quinnipiac University,NY,10/12/22,10/16/22,1617,lv,Charles E. Schumer,54,Joe Pinion,42,,,,,,,,,,
Redfield & Wilton Strategies,OH,10/16/22,10/16/22,800,rv,Tim Ryan,43,J.D. Vance,40,,,,,,,,,,
Redfield & Wilton Strategies,OH,10/16/22,10/16/22,568,lv,Tim Ryan,43,J.D. Vance,47,,,,,,,,,,
Cygnal,OH,10/12/22,10/16/22,1400,lv,Tim Ryan,43.1,J.D. Vance,46.5,,,,,,,,,,
Suffolk University,OH,10/11/22,10/15/22,500,lv,Tim Ryan,45,J.D. Vance,47,,,,,,,,,,
Ohio Northern University Institute for Civics and Public Policy,OH,10/11/22,10/15/22,668,lv,Tim Ryan,43.12,J.D. Vance,41.19,,,,,,,,,,
Amber Integrated,OK,10/13/22,10/15/22,500,lv,Madison Horn,36,James Lankford,52,,,,,,,,,,
Amber Integrated,OKS,10/13/22,10/15/22,500,lv,Kendra Horn,39,Markwayne Mullin,52,,,,,,,,,,
Garin-Hart-Yang Research Group,WI,10/11/22,10/15/22,502,lv,Mandela Barnes,46,Ron Johnson,48,,,,,,,,,,
Siena College,NY,10/12/22,10/14/22,707,lv,Charles E. Schumer,57,Joe Pinion,37,,,,,,,,,,
Cygnal,OH,10/10/22,10/14/22,1400,lv,Tim Ryan,42.8,J.D. Vance,45.8,,,,,,,,,,
Garin-Hart-Yang Research Group,AZ,10/10/22,10/13/22,502,lv,Mark Kelly,47,Blake Masters,43,,,,,,,,,,
HighGround Inc.,AZ,10/12/22,10/13/22,500,lv,Mark Kelly,42.4,Blake Masters,39.6,,,,,,,,,,
Wick,AZ,10/8/22,10/13/22,1000,lv,Mark Kelly,48.9,Blake Masters,46.4,,,,,,,,,,
"Fabrizio, Lee & Associates",CT,10/10/22,10/13/22,1200,lv,Richard Blumenthal,49,Leora R. Levy,44,,,,,,,,,,
RMG Research,FL,10/10/22,10/13/22,685,lv,Val Demings,45,Marco Rubio,50,,,,,,,,,,
Wick,GA,10/8/22,10/13/22,1018,lv,Raphael Warnock,46.1,Herschel Junior Walker,46.1,,,,,,,,,,
East Carolina University,NC,10/10/22,10/13/22,902,lv,Cheri Beasley,44,Ted Budd,50,,,,,,,,,,
Wick,NC,10/8/22,10/13/22,1009,lv,Cheri Beasley,44.2,Ted Budd,48.7,,,,,,,,,,
Wick,PA,10/8/22,10/13/22,1013,lv,John Fetterman,44.6,Mehmet Oz,49.1,,,,,,,,,,
Selzer & Co.,IA,10/9/22,10/12/22,620,lv,Michael Franken,43,Chuck Grassley,46,,,,,,,,,,
Trafalgar Group,OH,10/10/22,10/12/22,1081,lv,Tim Ryan,43.8,J.D. Vance,47.3,,,,,,,,,,
Data for Progress,OH,10/7/22,10/12/22,1016,lv,Tim Ryan,46,J.D. Vance,49,,,,,,,,,,
Ascend Action,OK,10/10/22,10/12/22,638,lv,Madison Horn,37,James Lankford,51,,,,,,,,,,
Ascend Action,OKS,10/10/22,10/12/22,638,lv,Kendra Horn,39,Markwayne Mullin,50,,,,,,,,,,
Patriot Polling,PA,10/10/22,10/12/22,857,rv,John Fetterman,46,Mehmet Oz,47.6,,,,,,,,,,
Fabrizio Lee & Associates/Impact Research,PA,10/4/22,10/12/22,1400,lv,John Fetterman,48,Mehmet Oz,46,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,AZ,10/11/22,10/11/22,550,rv,Mark Kelly,46,Blake Masters,41.6,,,,,,,,,,
Global Strategy Group,CO,10/6/22,10/11/22,800,rv,Michael Bennet,50,Joe O'Dea,35,,,,,,,,,,
Global Strategy Group,CO,10/6/22,10/11/22,800,lv,Michael Bennet,49,Joe O'Dea,38,,,,,,,,,,
Global Strategy Group,CO,10/6/22,10/11/22,800,rv,Michael Bennet,53,Joe O'Dea,40,,,,,,,,,,
Global Strategy Group,CO,10/6/22,10/11/22,800,lv,Michael Bennet,52,Joe O'Dea,42,,,,,,,,,,
African American Research Collaborative,FL,10/4/22,10/11/22,1250,rv,Val Demings,40,Marco Rubio,42,,,,,,,,,,
Trafalgar Group,GA,10/8/22,10/11/22,1084,lv,Raphael Warnock,46.3,Herschel Junior Walker,44.8,,,,,,,,,,
Moore Information,GA,10/8/22,10/11/22,800,lv,Raphael Warnock,44,Herschel Junior Walker,46,,,,,,,,,,
Civiqs,GA,10/8/22,10/11/22,717,lv,Raphael Warnock,49,Herschel Junior Walker,46,,,,,,,,,,
Public Policy Polling,IL,10/10/22,10/11/22,770,lv,Tammy Duckworth,50,Kathy Salvi,36,,,,,,,,,,
Research America Inc.,IL,10/5/22,10/11/22,1000,rv,Tammy Duckworth,48.2,Kathy Salvi,28.5,,,,,,,,,,
Public Policy Polling,LA,10/10/22,10/11/22,633,lv,Luke Mixon,16,John Kennedy,53,,,Syrita Steib,6,Gary Chambers,8,,,,
Trafalgar Group,PA,10/8/22,10/11/22,1078,lv,John Fetterman,47.2,Mehmet Oz,44.8,,,,,,,,,,
Hill Research Consultants,UT,10/8/22,10/11/22,500,lv,Evan McMullin,49,Mike Lee,43,,,,,,,,,,
Center Street PAC,UT,10/4/22,10/11/22,406,rv,Evan McMullin,37,Mike Lee,38,,,,,,,,,,
Center Street PAC,UT,10/4/22,10/11/22,239,lv,Evan McMullin,38,Mike Lee,50,,,,,,,,,,
Clarity Campaign Labs,WI,10/7/22,10/11/22,874,lv,Mandela Barnes,48,Ron Johnson,47,,,,,,,,,,
Ascend Action,AZ,10/8/22,10/10/22,954,lv,Mark Kelly,48,Blake Masters,44,,,,,,,,,,
OnMessage Inc.,AZ,10/8/22,10/10/22,600,lv,Mark Kelly,46,Blake Masters,43,,,,,,,,,,
SurveyUSA,CA,10/7/22,10/10/22,1013,lv,Alex Padilla,56,Mark P. Meuser,34,,,,,,,,,,
SurveyUSA,CA,10/7/22,10/10/22,1013,lv,Alex Padilla,56,Mark P. Meuser,34,,,,,,,,,,
Quinnipiac University,GA,10/7/22,10/10/22,1157,lv,Raphael Warnock,52,Herschel Junior Walker,45,,,,,,,,,,
South Dakota State University,SD,9/28/22,10/10/22,565,rv,Brian L. Bengs,28,John R. Thune,53,,,,,,,,,,
Center Street PAC,AZ,10/4/22,10/9/22,894,rv,Mark Kelly,54,Blake Masters,32,,,,,,,,,,
Center Street PAC,AZ,10/4/22,10/9/22,551,lv,Mark Kelly,55,Blake Masters,38,,,,,,,,,,
Marquette University Law School,WI,10/3/22,10/9/22,652,lv,Mandela Barnes,46,Ron Johnson,52,,,,,,,,,,
Marquette University Law School,WI,10/3/22,10/9/22,801,rv,Mandela Barnes,47,Ron Johnson,47,,,,,,,,,,
Public Policy Polling,NC,10/7/22,10/8/22,606,rv,Cheri Beasley,45,Ted Budd,46,,,,,,,,,,
Cygnal,OH,10/6/22,10/8/22,640,lv,Tim Ryan,44.4,J.D. Vance,46.3,,,,,,,,,,
Emerson College,GA,10/6/22,10/7/22,1000,lv,Raphael Warnock,47.8,Herschel Junior Walker,45.6,,,,,,,,,,
Suffolk University,NV,10/4/22,10/7/22,500,lv,Catherine Cortez Masto,45.6,Adam Paul Laxalt,43.6,,,,,,,,,,
Emerson College,OH,10/6/22,10/7/22,1000,lv,Tim Ryan,44.7,J.D. Vance,45.5,,,,,,,,,,
YouGov,WI,10/3/22,10/7/22,1137,lv,Mandela Barnes,49,Ron Johnson,50,,,,,,,,,,
OH Predictive Insights,AZ,10/4/22,10/6/22,674,lv,Mark Kelly,46,Blake Masters,33,,,,,,,,,,
Data for Progress,CO,10/3/22,10/6/22,1005,lv,Michael Bennet,50,Joe O'Dea,41,,,,,,,,,,
Marist College,CO,10/3/22,10/6/22,1127,rv,Michael Bennet,48,Joe O'Dea,41,,,,,,,,,,
Fabrizio Lee & Associates/Impact Research,NH,10/2/22,10/6/22,500,lv,Maggie Hassan,52,Donald C. Bolduc,45,,,,,,,,,,
Marist College,NY,10/3/22,10/6/22,1117,rv,Charles E. Schumer,54,Joe Pinion,34,,,,,,,,,,
SoonerPoll.com,OK,10/4/22,10/6/22,301,lv,Madison Horn,40.4,James Lankford,51.7,,,,,,,,,,
SoonerPoll.com,OKS,10/4/22,10/6/22,301,lv,Kendra Horn,42,Markwayne Mullin,50.7,,,,,,,,,,
OH Predictive Insights,UT,10/5/22,10/6/22,483,lv,Evan McMullin,32,Mike Lee,47,,,,,,,,,,
Dan Jones & Associates,UT,10/3/22,10/6/22,801,rv,Evan McMullin,37,Mike Lee,41,,,,,,,,,,
Dan Jones & Associates,UT,10/3/22,10/6/22,773,lv,Evan McMullin,37,Mike Lee,42,,,,,,,,,,
YouGov,AZ,9/30/22,10/4/22,1161,lv,Mark Kelly,51,Blake Masters,48,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,GA,10/4/22,10/4/22,550,lv,Raphael Warnock,47.2,Herschel Junior Walker,43.6,,,,,,,,,,
SurveyUSA,GA,9/30/22,10/4/22,1076,lv,Raphael Warnock,50,Herschel Junior Walker,38,,,,,,,,,,
University of Georgia School of Public and International Affairs,GA,9/25/22,10/4/22,1030,lv,Raphael Warnock,46.4,Herschel Junior Walker,43.4,,,,,,,,,,
Cygnal,IA,10/2/22,10/4/22,600,lv,Michael Franken,39.7,Chuck Grassley,54.1,,,,,,,,,,
Emerson College,IA,10/2/22,10/4/22,959,lv,Michael Franken,38,Chuck Grassley,48.7,,,,,,,,,,
WPA Intelligence (WPAi),NV,10/2/22,10/4/22,500,lv,Catherine Cortez Masto,44,Adam Paul Laxalt,42,,,,,,,,,,
Center Street PAC,OH,10/2/22,10/3/22,528,lv,Tim Ryan,49,J.D. Vance,38,,,,,,,,,,
Center Street PAC,OH,10/2/22,10/3/22,950,rv,Tim Ryan,43,J.D. Vance,35,,,,,,,,,,
University of New Hampshire,VT,9/29/22,10/3/22,765,lv,Peter Welch,62,Gerald Malloy,28,,,,,,,,,,
SSRS,AZ,9/26/22,10/2/22,795,lv,Mark Kelly,51,Blake Masters,45,,,,,,,,,,
SSRS,AZ,9/26/22,10/2/22,900,rv,Mark Kelly,52,Blake Masters,42,,,,,,,,,,
SurveyUSA,NC,9/28/22,10/2/22,677,lv,Cheri Beasley,42,Ted Budd,43,,,,,,,,,,
SSRS,NV,9/26/22,10/2/22,828,lv,Catherine Cortez Masto,46,Adam Paul Laxalt,48,,,,,,,,,,
SSRS,NV,9/26/22,10/2/22,926,rv,Catherine Cortez Masto,47,Adam Paul Laxalt,44,,,,,,,,,,
Emerson College,OR,9/30/22,10/1/22,796,lv,Ron Wyden,51.1,Jo Rae Perkins,31.6,,,,,,,,,,
Emerson College,WA,9/30/22,10/1/22,782,lv,Patty Murray,50.7,Tiffany Smiley,41.9,,,,,,,,,,
Trafalgar Group,NH,9/26/22,9/30/22,1081,lv,Maggie Hassan,48.2,Donald C. Bolduc,45,,,,,,,,,,
Data for Progress,NH,9/23/22,9/30/22,1147,lv,Maggie Hassan,50,Donald C. Bolduc,43,,,,,,,,,,
Center Street PAC,PA,9/29/22,9/30/22,568,lv,John Fetterman,55,Mehmet Oz,36,,,,,,,,,,
Center Street PAC,PA,9/29/22,9/30/22,971,rv,John Fetterman,50,Mehmet Oz,34,,,,,,,,,,
Suffolk University,PA,9/27/22,9/30/22,500,lv,John Fetterman,46.4,Mehmet Oz,40,,,,,,,,,,
OH Predictive Insights,NV,9/20/22,9/29/22,741,lv,Catherine Cortez Masto,43,Adam Paul Laxalt,45,,,,,,,,,,
Mason-Dixon Polling & Strategy,FL,9/26/22,9/28/22,800,lv,Val Demings,41,Marco Rubio,47,,,,,,,,,,
Change Research,IA,9/23/22,9/28/22,978,lv,Michael Franken,44,Chuck Grassley,49,,,,,,,,,,
Saint Anselm College,NH,9/27/22,9/28/22,901,lv,Maggie Hassan,49,Donald C. Bolduc,43,,,,,,,,,,
Public Policy Polling,WA,9/27/22,9/28/22,770,v,Patty Murray,52,Tiffany Smiley,40,,,,,,,,,,
Alaska Survey Research,AK,9/25/22,9/27/22,1282,lv,Patricia R. Chesbro,16.3,Lisa Murkowski,41,,,,,,,Kelly C. Tshibaka,38.6,Buzz A. Kelley,4.2
OnMessage Inc.,CO,9/20/22,9/27/22,600,lv,Michael Bennet,46,Joe O'Dea,45,,,,,,,,,,
Clarity Campaign Labs,FL,9/22/22,9/27/22,2860,lv,Val Demings,46,Marco Rubio,46,,,,,,,,,,
Emerson College,MO,9/23/22,9/27/22,1160,lv,Trudy Busch Valentine,37.7,Eric Schmitt,49.1,,,,,,,,,,
OnMessage Inc.,WA,9/20/22,9/27/22,600,lv,Patty Murray,46,Tiffany Smiley,42,,,,,,,,,,
Public Policy Polling,WI,9/26/22,9/27/22,574,v,Mandela Barnes,47,Ron Johnson,47,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,AZ,9/22/22,9/26/22,1008,rv,Mark Kelly,46,Blake Masters,40,,,,,,,,,,
Keating Research/Magellan Strategies,CO,9/18/22,9/26/22,1060,lv,Michael Bennet,46,Joe O'Dea,36,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,GA,9/22/22,9/26/22,1011,rv,Raphael Warnock,46,Herschel Junior Walker,41,,,,,,,,,,
ARW Strategies,IN,9/25/22,9/26/22,600,lv,Thomas McDermott,37,Todd Young,39,,,,,,,,,,
Cygnal,NC,9/24/22,9/26/22,650,lv,Cheri Beasley,44,Ted Budd,43.7,,,,,,,,,,
Suffolk University,NH,9/23/22,9/26/22,500,lv,Maggie Hassan,49.6,Donald C. Bolduc,41.2,,,,,,,,,,
Emerson College,PA,9/23/22,9/26/22,1000,lv,John Fetterman,44.6,Mehmet Oz,42.6,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,PA,9/22/22,9/26/22,1008,rv,John Fetterman,45,Mehmet Oz,41,,,,,,,,,,
Strategies 360,WA,9/23/22,9/26/22,500,rv,Patty Murray,50,Tiffany Smiley,36,,,,,,,,,,
Strategies 360,WA,9/23/22,9/26/22,370,lv,Patty Murray,52,Tiffany Smiley,40,,,,,,,,,,
Fox News/Beacon Research/Shaw & Co. Research,WI,9/22/22,9/26/22,1012,rv,Mandela Barnes,44,Ron Johnson,48,,,,,,,,,,
Suffolk University,AZ,9/21/22,9/25/22,500,lv,Mark Kelly,49,Blake Masters,42.2,,,,,,,,,,
Siena College,FL,9/18/22,9/25/22,669,lv,Val Demings,41,Marco Rubio,48,,,,,,,,,,
ActiVote,FL,6/27/22,9/25/22,210,lv,Val Demings,45,Marco Rubio,51,,,,,,,,,,
Siena College,NY,9/16/22,9/25/22,655,lv,Charles E. Schumer,55,Joe Pinion,36,,,,,,,,,,
Franklin & Marshall College,PA,9/19/22,9/25/22,517,rv,John Fetterman,45,Mehmet Oz,42,,,,,,,,,,
Fabrizio Lee & Associates/Impact Research,WI,9/18/22,9/25/22,500,lv,Mandela Barnes,46,Ron Johnson,51,,,,,,,,,,
Trafalgar Group,CO,9/20/22,9/24/22,1078,lv,Michael Bennet,48.6,Joe O'Dea,42.6,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,PA,9/23/22,9/24/22,500,lv,John Fetterman,44.8,Mehmet Oz,41.7,,,,,,,,,,
Trafalgar Group,WA,9/21/22,9/24/22,1091,lv,Patty Murray,48.7,Tiffany Smiley,46.5,,,,,,,,,,
Emerson College,IL,9/21/22,9/23/22,1000,lv,Tammy Duckworth,49.7,Kathy Salvi,30.8,,,,,,,,,,
Meredith College,NC,9/20/22,9/23/22,731,lv,Cheri Beasley,41,Ted Budd,41.3,,,,,,,,,,
Data for Progress,WI,9/20/22,9/23/22,999,lv,Mandela Barnes,48,Ron Johnson,50,,,,,,,,,,
Marist College,AZ,9/19/22,9/22/22,1260,rv,Mark Kelly,51,Blake Masters,41,,,,,,,,,,
Siena College,OH,9/18/22,9/22/22,642,lv,Tim Ryan,46,J.D. Vance,43,,,,,,,,,,
Marist College,PA,9/19/22,9/22/22,1242,rv,John Fetterman,51,Mehmet Oz,41,,,,,,,,,,
Western New England University,CT,9/15/22,9/21/22,766,rv,Richard Blumenthal,51,Leora R. Levy,37,,,,,,,,,,
Western New England University,CT,9/15/22,9/21/22,626,lv,Richard Blumenthal,53,Leora R. Levy,40,,,,,,,,,,
Amber Integrated,OK,9/19/22,9/21/22,500,lv,Madison Horn,34,James Lankford,52,,,,,,,,,,
Amber Integrated,OKS,9/19/22,9/21/22,500,lv,Kendra Horn,39,Markwayne Mullin,50,,,,,,,,,,
Dan Jones & Associates,UT,9/3/22,9/21/22,815,rv,Evan McMullin,34,Mike Lee,36,,,,,,,,,,
Dan Jones & Associates,UT,9/3/22,9/21/22,786,lv,Evan McMullin,34,Mike Lee,37,,,,,,,,,,
Civiqs,FL,9/17/22,9/20/22,617,lv,Val Demings,47,Marco Rubio,49,,,,,,,,,,
Data for Progress,GA,9/16/22,9/20/22,1006,lv,Raphael Warnock,46,Herschel Junior Walker,46,,,,,,,,,,
Civiqs,NC,9/17/22,9/20/22,586,lv,Cheri Beasley,49,Ted Budd,48,,,,,,,,,,
Global Strategy Group,NC,9/12/22,9/20/22,800,lv,Cheri Beasley,46,Ted Budd,46,,,,,,,,,,
Opinion Savvy/InsiderAdvantage,NV,9/20/22,9/20/22,500,lv,Catherine Cortez Masto,43,Adam Paul Laxalt,45.9,,,,,,,,,,
WPA Intelligence (WPAi),NV,9/18/22,9/20/22,500,lv,Catherine Cortez Masto,42,Adam Paul Laxalt,39,,,,,,,,,,
Trafalgar Group,NV,9/17/22,9/20/22,1086,lv,Catherine Cortez Masto,43.1,Adam Paul Laxalt,47.1,,,,,,,,,,
Data for Progress,AZ,9/15/22,9/19/22,768,lv,Mark Kelly,48,Blake Masters,47,,,,,,,,,,
Emerson College,CO,9/18/22,9/19/22,1000,lv,Michael Bennet,45.5,Joe O'Dea,35.9,,,,,,,,,,
Quinnipiac University,CT,9/15/22,9/19/22,1911,lv,Richard Blumenthal,57,Leora R. Levy,40,,,,,,,,,,
YouGov,GA,9/14/22,9/19/22,1178,lv,Raphael Warnock,51,Herschel Junior Walker,49,,,,,,,,,,
American Research Group,NH,9/15/22,9/19/22,555,rv,Maggie Hassan,53,Donald C. Bolduc,40,,,,,,,,,,
University of New Hampshire,NH,9/15/22,9/19/22,870,lv,Maggie Hassan,49,Donald C. Bolduc,41,,,,,,,,,,
Data for Progress,NV,9/14/22,9/19/22,874,lv,Catherine Cortez Masto,46,Adam Paul Laxalt,47,,,,,,,,,,
Phillips Academy,PA,9/16/22,9/19/22,759,rv,John Fetterman,46.5,Mehmet Oz,44.5,,,,,,,,,,
Trafalgar Group,WI,9/15/22,9/19/22,1087,lv,Mandela Barnes,46.5,Ron Johnson,48.7,,,,,,,,,,
Suffolk University,FL,9/15/22,9/18/22,500,lv,Val Demings,41.2,Marco Rubio,45.2,,,,,,,,,,
Emerson College,KS,9/15/22,9/18/22,1000,lv,Mark R. Holland,33.1,Jerry Moran,45.3,,,,,,,,,,
SurveyUSA,MO,9/14/22,9/18/22,670,lv,Trudy Busch Valentine,36,Eric Schmitt,47,,,,,,,,,,
Bruno Political Consulting,OK,9/15/22,9/18/22,2989,lv,Madison Horn,26.68,James Lankford,49.12,,,,,,,,,,
Bruno Political Consulting,OKS,9/15/22,9/18/22,2989,lv,Kendra Horn,37.09,Markwayne Mullin,49.17,,,,,,,,,,
Emerson College,WI,9/16/22,9/18/22,860,lv,Mandela Barnes,44.1,Ron Johnson,47.7,,,,,,,,,,
Trafalgar Group,AZ,9/14/22,9/17/22,1080,lv,Mark Kelly,46.6,Blake Masters,45.4,,,,,,,,,,
University of Georgia School of Public and International Affairs,GA,9/5/22,9/16/22,861,lv,Raphael Warnock,44.2,Herschel Junior Walker,45.8,,,,,,,,,,
Emerson College,NC,9/15/22,9/16/22,1000,lv,Cheri Beasley,43.2,Ted Budd,45.6,,,,,,,,,,
Muhlenberg College,PA,9/13/22,9/16/22,420,lv,John Fetterman,49,Mehmet Oz,44,,,,,,,,,,
Fabrizio Lee & Associates/Impact Research,AZ,9/8/22,9/15/22,500,lv,Mark Kelly,50,Blake Masters,42,,,,,,,,,,
Fabrizio Lee & Associates/Impact Research,AZ,9/8/22,9/15/22,500,lv,Mark Kelly,52,Blake Masters,45,,,,,,,,,,
Marist College,GA,9/12/22,9/15/22,1202,rv,Raphael Warnock,47,Herschel Junior Walker,42,,,,,,,,,,
Emerson College,NH,9/14/22,9/15/22,800,lv,Maggie Hassan,50.6,Donald C. Bolduc,40.1,,,,,,,,,,
Marist College,OH,9/12/22,9/15/22,1200,rv,Tim Ryan,45,J.D. Vance,46,,,,,,,,,,
Baldwin Wallace University,OH,9/12/22,9/15/22,855,lv,Tim Ryan,48.2,J.D. Vance,45.1,,,,,,,,,,
Trafalgar Group,PA,9/13/22,9/15/22,1078,lv,John Fetterman,47.7,Mehmet Oz,45.9,,,,,,,,,,
OnMessage Inc.,UT,9/13/22,9/15/22,700,lv,Evan McMullin,34,Mike Lee,51,,,,,,,,,,
Elway Research,WA,9/12/22,9/15/22,403,lv,Patty Murray,50,Tiffany Smiley,37,,,,,,,,,,
Siena College,WI,9/14/22,9/15/22,651,lv,Mandela Barnes,48,Ron Johnson,47,,,,,,,,,,
Emerson College,OH,9/12/22,9/13/22,1000,lv,Tim Ryan,40.1,J.D. Vance,44.4,,,,,,,,,,
Civiqs,OH,9/10/22,9/13/22,780,lv,Tim Ryan,45,J.D. Vance,48,,,,,,,,,,
Lighthouse Research,UT,8/30/22,9/13/22,509,lv,Evan McMullin,37.33,Mike Lee,48.13,,,,,,,,,,
OnMessage Inc.,WI,9/11/22,9/13/22,800,lv,Mandela Barnes,45,Ron Johnson,49,,,,,,,,,,
Civiqs,WI,9/10/22,9/13/22,780,lv,Mandela Barnes,48,Ron Johnson,49,,,,,,,,,,
Hendrix College,AR,9/12/22,9/12/22,835,lv,Natalie James,30.5,John Boozman,43.5,,,,,,,,,,
Center Street PAC,GA,9/9/22,9/12/22,542,lv,Raphael Warnock,49,Herschel Junior Walker,45,,,,,,,,,,
Center Street PAC,GA,9/9/22,9/12/22,949,rv,Raphael Warnock,50,Herschel Junior Walker,37,,,,,,,,,,
Quinnipiac University,GA,9/8/22,9/12/22,1278,lv,Raphael Warnock,52,Herschel Junior Walker,46,,,,,,,,,,
Goucher College,MD,9/8/22,9/12/22,748,lv,Chris Van Hollen,56,Chris Chaffee,33,,,,,,,,,,
YouGov,PA,9/6/22,9/12/22,1188,lv,John Fetterman,52,Mehmet Oz,47,,,,,,,,,,
Fabrizio Lee & Associates/Impact Research,AK,9/6/22,9/11/22,500,lv,Patricia R. Chesbro,14,Lisa Murkowski,38,,,,,,,Kelly C. Tshibaka,46,Buzz A. Kelley,2
OnMessage Inc.,AZ,9/6/22,9/11/22,400,lv,Mark Kelly,50,Blake Masters,40,,,,,,,,,,
Fallon Research & Communications,OH,9/6/22,9/11/22,600,rv,Tim Ryan,46.1,J.D. Vance,43.1,,,,,,,,,,
Lake Research Partners,SD,9/6/22,9/11/22,400,lv,Brian L. Bengs,33,John R. Thune,46,,,,,,,,,,
Marquette University Law School,WI,9/6/22,9/11/22,632,lv,Mandela Barnes,48,Ron Johnson,49,,,,,,,,,,
Marquette University Law School,WI,9/6/22,9/11/22,801,rv,Mandela Barnes,47,Ron Johnson,48,,,,,,,,,,
