POLLSTER,START,END,SAMPLE,POPULATION,DEMPCT,REPPCT,OTHERPCT
ALG Research,6/2/22,6/9/22,2000,lv,47,44,
Morning Consult,6/6/22,6/8/22,9966,rv,44,42,
Ipsos,6/6/22,6/7/22,1005,a,39,37,
Morning Consult,6/5/22,6/7/22,10453,rv,44,43,
YouGov,6/4/22,6/7/22,821,rv,43,45,
Global Strategy Group,6/1/22,6/7/22,1000,lv,45,47,
Ipsos,5/26/22,6/6/22,711,lv,35,42,
Morning Consult,6/4/22,6/6/22,10507,rv,44,43,
Quinnipiac University,6/3/22,6/6/22,1576,a,40,44,
Quinnipiac University,6/3/22,6/6/22,1413,rv,41,46,
Ipsos,5/26/22,6/6/22,1691,a,27,29,
Morning Consult,6/4/22,6/5/22,2006,rv,42,42,
Morning Consult,6/3/22,6/5/22,10527,rv,44,43,
Morning Consult,6/2/22,6/4/22,10631,rv,44,42,
Big Village/Opinion Research Corporation,6/1/22,6/3/22,1004,a,37.4,38,
Big Village/Opinion Research Corporation,6/1/22,6/3/22,822,rv,43,43.8,
Morning Consult,6/1/22,6/3/22,10989,rv,44,43,
Morning Consult,5/31/22,6/2/22,11847,rv,44,43,
Rasmussen Reports/Pulse Opinion Research,5/29/22,6/2/22,2500,lv,40,48,
Morning Consult,5/30/22,6/1/22,12394,rv,44,42,
Morning Consult,5/29/22,5/31/22,13228,rv,44,42,
YouGov,5/28/22,5/31/22,776,rv,43,43,
Morning Consult,5/28/22,5/30/22,13249,rv,43,42,
Morning Consult,5/27/22,5/29/22,12522,rv,43,43,
Morning Consult,5/26/22,5/28/22,12058,rv,43,42,
Morning Consult,5/25/22,5/27/22,11966,rv,43,42,
The Winston Group,5/25/22,5/26/22,1000,rv,44,45,
Morning Consult,5/24/22,5/26/22,12406,rv,43,42,
Rasmussen Reports/Pulse Opinion Research,5/22/22,5/26/22,2500,lv,41,47,
Emerson College,5/24/22,5/25/22,1148,rv,42.3,45.2,
Morning Consult,5/23/22,5/25/22,12466,rv,43,43,
Morning Consult,5/22/22,5/24/22,12867,rv,44,43,
YouGov,5/21/22,5/24/22,908,rv,41,45,
Morning Consult,5/21/22,5/23/22,12738,rv,44,43,
Echelon Insights,5/20/22,5/23/22,1020,rv,46,43,
Echelon Insights,5/20/22,5/23/22,1020,lv,45,45,
Morning Consult,5/20/22,5/22/22,2005,rv,45,41,
Morning Consult,5/20/22,5/22/22,11578,rv,44,42,
YouGov,5/19/22,5/22/22,1369,rv,42,38,
YouGov,5/19/22,5/22/22,1573,a,38,36,
Morning Consult,5/19/22,5/21/22,10614,rv,44,42,
Big Village/Opinion Research Corporation,5/18/22,5/20/22,1011,a,37.3,37.6,
Big Village/Opinion Research Corporation,5/18/22,5/20/22,825,rv,42.9,43.2,
Morning Consult,5/18/22,5/20/22,9659,rv,44,42,
NewsNation,5/18/22,5/19/22,1009,rv,41.15,43.27,
Harris Insights & Analytics,5/18/22,5/19/22,1963,rv,49,51,
Morning Consult,5/17/22,5/19/22,9985,rv,44,42,
Rasmussen Reports/Pulse Opinion Research,5/15/22,5/19/22,2500,lv,39,48,
Morning Consult,5/16/22,5/18/22,10299,rv,44,42,
YouGov,5/15/22,5/17/22,952,rv,43,40,
Morning Consult,5/15/22,5/17/22,11726,rv,44,42,
Morning Consult,5/14/22,5/16/22,12394,rv,44,42,
Morning Consult,5/13/22,5/16/22,2005,rv,44,42,
The Bullfinch Group,5/12/22,5/16/22,1200,a,42,41,
The Bullfinch Group,5/12/22,5/16/22,1000,rv,44,42,
Quinnipiac University,5/12/22,5/16/22,1586,a,42,47,
Quinnipiac University,5/12/22,5/16/22,1421,rv,43,47,
Cygnal,5/13/22,5/15/22,5765,lv,45.1,47.8,
Morning Consult,5/13/22,5/15/22,11495,rv,44,42,
Morning Consult,5/12/22,5/14/22,10484,rv,43,42,
McLaughlin & Associates,5/9/22,5/14/22,2000,lv,42,47,
Morning Consult,5/11/22,5/13/22,9851,rv,43,42,
Marist College,5/9/22,5/13/22,1213,rv,47,42,
Morning Consult,5/10/22,5/12/22,10501,rv,43,42,
Morning Consult,5/9/22,5/11/22,10606,rv,44,42,
YouGov,5/8/22,5/10/22,1361,rv,51,49,
Morning Consult,5/8/22,5/10/22,11741,rv,44,42,
NBC News/The Wall Street Journal,5/5/22,5/10/22,790,rv,46,46,
Morning Consult,5/7/22,5/9/22,12073,rv,43,42,
Morning Consult,5/6/22,5/9/22,2005,rv,44,42,
Monmouth University,5/5/22,5/9/22,807,a,44,48,
Monmouth University,5/5/22,5/9/22,751,rv,43,50,
YouGov,5/5/22,5/9/22,1000,a,44,38,
Morning Consult,5/6/22,5/8/22,11290,rv,43,42,
Morning Consult,5/5/22,5/7/22,10453,rv,43,42,
OnMessage Inc.,5/4/22,5/6/22,800,lv,44,45,
Big Village/Opinion Research Corporation,5/4/22,5/6/22,1008,a,39.2,36.8,
Big Village/Opinion Research Corporation,5/4/22,5/6/22,833,rv,45.3,42,
IBD/TIPP,5/4/22,5/6/22,1043,rv,42,43,
Morning Consult,5/4/22,5/6/22,10570,rv,44,41,
YouGov,5/3/22,5/6/22,1215,rv,43,39,
YouGov,5/3/22,5/6/22,1577,a,37,33,
Ipsos,4/27/22,5/5/22,1065,lv,38,40,
SSRS,5/3/22,5/5/22,645,rv,42,49,
Morning Consult,5/3/22,5/5/22,11561,rv,43,42,
Ipsos,4/27/22,5/5/22,2006,a,27,29,
Morning Consult,5/2/22,5/4/22,12128,rv,43,42,
Morning Consult,5/3/22,5/3/22,1955,rv,43,43,
Morning Consult,5/1/22,5/3/22,12700,rv,43,42,
YouGov,4/30/22,5/3/22,1303,rv,53,47,
Morning Consult,4/30/22,5/2/22,13015,rv,43,42,
Morning Consult,4/29/22,5/2/22,2000,rv,43,43,
Morning Consult,4/29/22,5/1/22,11846,rv,42,42,
Fox News/Beacon Research/Shaw & Co. Research,4/28/22,5/1/22,1003,rv,39,46,
SSRS,4/28/22,5/1/22,806,rv,44,45,
Morning Consult,4/28/22,4/30/22,11046,rv,42,42,
Morning Consult,4/27/22,4/29/22,10632,rv,42,42,
The Winston Group,4/26/22,4/28/22,1000,rv,44,45,
Morning Consult,4/26/22,4/28/22,11794,rv,43,42,
ABC News/The Washington Post,4/24/22,4/28/22,907,rv,46,45,
YouGov,4/26/22,4/27/22,1331,rv,42.1,39.3,
Morning Consult,4/25/22,4/27/22,12324,rv,43,42,
Susquehanna Polling & Research Inc.,4/19/22,4/27/22,800,lv,39,49,
Emerson College,4/25/22,4/26/22,1000,rv,40.6,46.8,
Morning Consult,4/24/22,4/26/22,13345,rv,43,42,
McLaughlin & Associates,4/22/22,4/26/22,1000,lv,43,48,
Marist College,4/19/22,4/26/22,1162,rv,44,47,
Morning Consult,4/23/22,4/25/22,13626,rv,42,42,
Morning Consult,4/22/22,4/25/22,2004,rv,43,42,
Quinnipiac University,4/21/22,4/25/22,1554,a,40,44,
Quinnipiac University,4/21/22,4/25/22,1409,rv,42,45,
Morning Consult,4/22/22,4/24/22,13082,rv,42,42,
Opinion Savvy/InsiderAdvantage,4/21/22,4/23/22,750,lv,39,51,
Morning Consult,4/21/22,4/23/22,12261,rv,42,42,
Morning Consult,4/20/22,4/23/22,4410,a,42,36,
Big Village/Opinion Research Corporation,4/20/22,4/22/22,1005,a,37,37.1,
Big Village/Opinion Research Corporation,4/20/22,4/22/22,817,rv,44.2,42.2,
Morning Consult,4/20/22,4/22/22,11699,rv,43,42,
YouGov,4/19/22,4/22/22,1605,a,37,34,
YouGov,4/19/22,4/22/22,1187,rv,44,40,
Harris Insights & Analytics,4/20/22,4/21/22,1966,rv,50,50,
Morning Consult,4/19/22,4/21/22,12208,rv,42,42,
Trafalgar Group,4/18/22,4/20/22,1077,lv,39.4,48.1,
Echelon Insights,4/18/22,4/20/22,1001,lv,45,47,
Echelon Insights,4/18/22,4/20/22,1001,rv,46,46,
Morning Consult,4/18/22,4/20/22,12944,rv,42,43,
Morning Consult,4/17/22,4/19/22,14034,rv,42,42,
YouGov,4/16/22,4/19/22,1258,rv,42.7,38.2,
NewsNation,4/17/22,4/18/22,1038,rv,39.7,40.7,
Morning Consult,4/16/22,4/18/22,14079,rv,42,42,
Cygnal,4/15/22,4/18/22,5846,lv,45,47.4,
Public Opinion Strategies,4/12/22,4/18/22,1500,rv,49,51,
Morning Consult,4/15/22,4/17/22,2005,rv,43,42,
Morning Consult,4/15/22,4/17/22,13223,rv,42,42,
Morning Consult,4/14/22,4/16/22,12135,rv,42,43,
Morning Consult,4/13/22,4/15/22,11726,rv,42,43,
Morning Consult,4/12/22,4/14/22,11904,rv,43,42,
Rasmussen Reports/Pulse Opinion Research,4/10/22,4/14/22,2500,lv,39,47,
Morning Consult,4/11/22,4/13/22,12177,rv,43,42,
Morning Consult,4/10/22,4/12/22,12977,rv,43,42,
YouGov,4/9/22,4/12/22,1303,rv,41.6,39.2,
Morning Consult,4/9/22,4/11/22,13094,rv,43,42,
Morning Consult,4/8/22,4/11/22,2005,rv,40,43,
Morning Consult,4/8/22,4/10/22,12405,rv,43,42,
Morning Consult,4/7/22,4/9/22,11069,rv,43,42,
Big Village/Opinion Research Corporation,4/6/22,4/8/22,1013,a,40.7,35.9,
Big Village/Opinion Research Corporation,4/6/22,4/8/22,814,rv,44,43.1,
Morning Consult,4/6/22,4/8/22,10591,rv,42,42,
Morning Consult,4/5/22,4/7/22,11964,rv,42,43,
Morning Consult,4/4/22,4/6/22,13325,rv,43,43,
Morning Consult,4/3/22,4/5/22,15235,rv,43,43,
YouGov,4/2/22,4/5/22,1287,rv,41.9,37.7,
Morning Consult,4/2/22,4/4/22,14848,rv,44,43,
Morning Consult,4/1/22,4/4/22,2003,rv,43,43,
YouGov,3/31/22,4/4/22,1618,a,36,34,
YouGov,3/31/22,4/4/22,1233,rv,44,41,
Quinnipiac University,3/31/22,4/4/22,1436,a,43,44,
Quinnipiac University,3/31/22,4/4/22,1280,rv,43,47,
Morning Consult,4/1/22,4/3/22,13957,rv,44,43,
Morning Consult,3/31/22,4/2/22,13479,rv,43,42,
Morning Consult,3/30/22,4/1/22,13845,rv,42,42,
OnMessage Inc.,3/29/22,3/31/22,800,lv,43,46,
Morning Consult,3/29/22,3/31/22,14742,rv,43,42,
Morning Consult,3/28/22,3/30/22,14966,rv,42,43,
Morning Consult,3/27/22,3/29/22,15693,rv,43,43,
YouGov,3/26/22,3/29/22,1313,rv,40.7,38.6,
Morning Consult,3/26/22,3/28/22,15557,rv,43,43,
Morning Consult,3/25/22,3/27/22,2006,rv,42,41,
Big Village/Opinion Research Corporation,3/25/22,3/27/22,1024,a,37.8,38.4,
Big Village/Opinion Research Corporation,3/25/22,3/27/22,839,rv,45,42.3,
Morning Consult,3/25/22,3/27/22,14813,rv,44,42,
Morning Consult,3/24/22,3/26/22,13757,rv,43,43,
co/efficient,3/25/22,3/25/22,963,lv,34,40,
Morning Consult,3/23/22,3/25/22,13717,rv,43,43,
Harris Insights & Analytics,3/23/22,3/24/22,1990,rv,47,53,
Morning Consult,3/22/22,3/24/22,13974,rv,43,43,
Morning Consult,3/21/22,3/23/22,14472,rv,43,42,
NewsNation,3/21/22,3/22/22,1086,rv,39.31,40.96,
Morning Consult,3/20/22,3/22/22,15139,rv,43,42,
YouGov,3/19/22,3/22/22,1270,rv,43.1,38.7,
NBC News/The Wall Street Journal,3/18/22,3/22/22,1000,a,44,46,
McLaughlin & Associates,3/17/22,3/22/22,1000,lv,44,48,
Morning Consult,3/19/22,3/21/22,14194,rv,43,42,
Morning Consult,3/18/22,3/21/22,2005,rv,42,41,
Echelon Insights,3/18/22,3/21/22,1050,lv,45,45,
Echelon Insights,3/18/22,3/21/22,1050,rv,45,44,
Fox News/Beacon Research/Shaw & Co. Research,3/18/22,3/21/22,1004,rv,41,43,
University of Massachusetts Lowell,3/15/22,3/21/22,873,rv,42,40,
Hofstra University,3/11/22,3/21/22,2000,rv,50.63,49.28,
Emerson College,3/18/22,3/20/22,1023,rv,41.8,47.1,
Morning Consult,3/18/22,3/20/22,13140,rv,42,42,
Cygnal,3/17/22,3/19/22,5645,lv,45.9,46.7,
Morning Consult,3/17/22,3/19/22,11930,rv,43,42,
Morning Consult,3/16/22,3/18/22,12708,rv,42,42,
OnMessage Inc.,3/15/22,3/17/22,800,lv,44,47,
Morning Consult,3/15/22,3/17/22,12724,rv,43,42,
Rasmussen Reports/Pulse Opinion Research,3/13/22,3/17/22,2500,lv,39,50,
Morning Consult,3/14/22,3/16/22,13513,rv,43,42,
Morning Consult,3/13/22,3/15/22,14256,rv,43,43,
YouGov,3/12/22,3/15/22,1251,rv,39.8,40.6,
The Winston Group,3/12/22,3/14/22,1000,rv,44,45,
Morning Consult,3/12/22,3/14/22,14705,rv,43,43,
Morning Consult,3/11/22,3/14/22,2005,rv,42,43,
YouGov,3/10/22,3/14/22,1623,a,36,33,
YouGov,3/10/22,3/14/22,1225,rv,42,38,
Monmouth University,3/10/22,3/14/22,809,a,46,45,
Monmouth University,3/10/22,3/14/22,746,rv,46,46,
SocialSphere,3/6/22,3/14/22,6565,rv,40,41,
Morning Consult,3/11/22,3/13/22,13266,rv,43,42,
Pew Research Center,3/7/22,3/13/22,9021,rv,43,43,
Morning Consult,3/10/22,3/12/22,11761,rv,43,42,
Big Village/Opinion Research Corporation,3/9/22,3/11/22,1009,a,36.5,38.5,
Big Village/Opinion Research Corporation,3/9/22,3/11/22,823,rv,41.9,44.4,
Morning Consult,3/9/22,3/11/22,12018,rv,43,42,
Morning Consult,3/8/22,3/10/22,12607,rv,43,42,
Morning Consult,3/7/22,3/9/22,13756,rv,43,43,
Opinion Savvy/InsiderAdvantage,3/7/22,3/8/22,750,lv,40,48,
Morning Consult,3/6/22,3/8/22,14788,rv,43,42,
YouGov,3/5/22,3/8/22,1227,rv,44.3,38.8,
Morning Consult,3/5/22,3/7/22,14940,rv,43,42,
Fabrizio Lee & Associates/Impact Research,3/2/22,3/7/22,1500,rv,41,46,
Morning Consult,3/4/22,3/6/22,2005,rv,43,41,
Morning Consult,3/4/22,3/6/22,13816,rv,43,42,
Morning Consult,3/3/22,3/5/22,12700,rv,42,42,
Morning Consult,3/2/22,3/4/22,12643,rv,43,42,
"Cor Services, Inc.",3/1/22,3/3/22,524,lv,42,43,
Morning Consult,3/1/22,3/3/22,13693,rv,43,42,
Morning Consult,2/28/22,3/2/22,14117,rv,43,42,
Morning Consult,2/27/22,3/1/22,15622,rv,42,43,
YouGov,2/26/22,3/1/22,1205,rv,42.2,38.3,
Morning Consult,2/26/22,2/28/22,15743,rv,41,44,
Morning Consult,2/25/22,2/27/22,2004,rv,42,41,
Morning Consult,2/25/22,2/27/22,15741,rv,41,44,
YouGov,2/24/22,2/27/22,1532,a,36,33,
YouGov,2/24/22,2/27/22,1169,rv,42,39,
Morning Consult,2/24/22,2/26/22,14759,rv,41,45,
Big Village/Opinion Research Corporation,2/23/22,2/25/22,1007,a,38.5,36.7,
Big Village/Opinion Research Corporation,2/23/22,2/25/22,811,rv,44.5,41.2,
Morning Consult,2/23/22,2/25/22,14341,rv,41,45,
Harris Insights & Analytics,2/23/22,2/24/22,2026,rv,49,51,
NewsNation,2/23/22,2/24/22,1046,rv,38.92,41.94,
OnMessage Inc.,2/23/22,2/24/22,802,lv,45,43,
Morning Consult,2/22/22,2/24/22,14563,rv,41,44,
ABC News/The Washington Post,2/20/22,2/24/22,904,rv,42,49,
Morning Consult,2/21/22,2/23/22,15553,rv,42,43,
Echelon Insights,2/19/22,2/23/22,1078,rv,45,44,
The Bullfinch Group,2/19/22,2/23/22,1247,a,39,40,
The Bullfinch Group,2/19/22,2/23/22,1044,rv,41,42,
Morning Consult,2/20/22,2/22/22,16291,rv,42,43,
YouGov,2/19/22,2/22/22,1290,rv,43.9,37.6,
Fox News/Beacon Research/Shaw & Co. Research,2/19/22,2/22/22,1001,rv,45,49,
McLaughlin & Associates,2/16/22,2/22/22,1000,lv,45,47,
Morning Consult,2/19/22,2/21/22,2005,rv,45,41,
Morning Consult,2/19/22,2/21/22,15710,rv,42,43,
Emerson College,2/19/22,2/20/22,1138,rv,41.4,49.9,
Morning Consult,2/18/22,2/20/22,14447,rv,41,44,
Suffolk University,2/16/22,2/20/22,1000,rv,38.9,37.3,
Morning Consult,2/17/22,2/19/22,13417,rv,41,44,
Morning Consult,2/16/22,2/18/22,13435,rv,42,43,
Morning Consult,2/15/22,2/17/22,14215,rv,43,43,
Rasmussen Reports/Pulse Opinion Research,2/13/22,2/17/22,2500,lv,37,50,
The Winston Group,2/15/22,2/16/22,1000,rv,44,44,
Morning Consult,2/14/22,2/16/22,15269,rv,42,43,
Morning Consult,2/13/22,2/15/22,16223,rv,43,43,
YouGov,2/12/22,2/15/22,1231,rv,42.2,37.2,
Morning Consult,2/12/22,2/14/22,16039,rv,42,43,
Quinnipiac University,2/10/22,2/14/22,1321,a,43,45,
Quinnipiac University,2/10/22,2/14/22,1172,rv,44,46,
Morning Consult,2/12/22,2/13/22,2005,rv,41,43,
Morning Consult,2/11/22,2/13/22,15399,rv,42,44,
Morning Consult,2/10/22,2/12/22,14820,rv,41,44,
Big Village/Opinion Research Corporation,2/9/22,2/11/22,1007,a,39.2,35.5,
Big Village/Opinion Research Corporation,2/9/22,2/11/22,813,rv,44.5,41.5,
Morning Consult,2/9/22,2/11/22,15023,rv,41,44,
OnMessage Inc.,2/8/22,2/10/22,800,lv,42,45,
Morning Consult,2/8/22,2/10/22,15848,rv,42,43,
Morning Consult,2/7/22,2/9/22,16356,rv,42,43,
Susquehanna Polling & Research Inc.,2/3/22,2/9/22,800,lv,41,47,
Morning Consult,2/6/22,2/8/22,16946,rv,43,43,
YouGov,2/5/22,2/8/22,1255,rv,42.6,39.3,
Public Opinion Strategies,2/4/22,2/8/22,1000,rv,43,41,
Morning Consult,2/5/22,2/7/22,16947,rv,43,43,
Ipsos,1/31/22,2/7/22,4404,a,42,34,
Morning Consult,2/5/22,2/6/22,2005,rv,42,43,
Morning Consult,2/4/22,2/6/22,17164,rv,43,42,
Trafalgar Group,2/2/22,2/6/22,1073,lv,41.9,54.4,
SSRS,1/10/22,2/6/22,1257,rv,43,44,
Morning Consult,2/3/22,2/5/22,16862,rv,43,42,
Morning Consult,2/2/22,2/4/22,16438,rv,43,42,
Morning Consult,2/1/22,2/3/22,15736,rv,43,43,
Morning Consult,1/31/22,2/2/22,15986,rv,43,42,
Morning Consult,1/30/22,2/1/22,16699,rv,43,42,
YouGov,1/29/22,2/1/22,1273,rv,44,38,
Morning Consult,1/29/22,1/31/22,17403,rv,44,42,
Morning Consult,1/28/22,1/30/22,2005,rv,44,41,
Morning Consult,1/28/22,1/30/22,17010,rv,44,42,
Morning Consult,1/27/22,1/29/22,15943,rv,43,42,
Big Village/Opinion Research Corporation,1/26/22,1/28/22,1003,a,38.1,37.4,
Big Village/Opinion Research Corporation,1/26/22,1/28/22,808,rv,44.1,43.8,
Morning Consult,1/26/22,1/28/22,15560,rv,43,43,
OnMessage Inc.,1/25/22,1/27/22,800,lv,43,47,
Cygnal,1/25/22,1/27/22,5837,lv,44.8,47.1,
Morning Consult,1/25/22,1/27/22,15569,rv,42,43,
Morning Consult,1/24/22,1/26/22,16525,rv,43,43,
Morning Consult,1/23/22,1/25/22,16978,rv,43,43,
YouGov,1/22/22,1/25/22,1249,rv,42,38.5,
Morning Consult,1/22/22,1/24/22,16958,rv,43,43,
Zogby Interactive/JZ Analytics,1/21/22,1/24/22,897,lv,43.7,41.9,
Monmouth University,1/20/22,1/24/22,794,a,43,50,
Monmouth University,1/20/22,1/24/22,735,rv,43,51,
Morning Consult,1/22/22,1/23/22,2005,rv,42,42,
Opinion Savvy/InsiderAdvantage,1/21/22,1/23/22,850,lv,42,49,
Echelon Insights,1/21/22,1/23/22,1029,rv,46,41,
Morning Consult,1/21/22,1/23/22,16355,rv,43,43,
Morning Consult,1/20/22,1/22/22,15926,rv,43,43,
Morning Consult,1/19/22,1/21/22,15957,rv,43,43,
Harris Insights & Analytics,1/19/22,1/20/22,1815,rv,47,53,
Morning Consult,1/18/22,1/20/22,16303,rv,42,44,
Morning Consult,1/17/22,1/19/22,16794,rv,42,44,
Fox News/Beacon Research/Shaw & Co. Research,1/16/22,1/19/22,1001,rv,43,44,
Morning Consult,1/16/22,1/18/22,17051,rv,41,44,
YouGov,1/15/22,1/18/22,1153,rv,42.9,38.6,
NBC News/The Wall Street Journal,1/14/22,1/18/22,790,rv,47,46,
McLaughlin & Associates,1/13/22,1/18/22,1000,lv,43,48,
Morning Consult,1/15/22,1/17/22,17299,rv,41,44,
Echelon Insights,1/14/22,1/17/22,1000,rv,43,44,
Morning Consult,1/15/22,1/16/22,2005,rv,41,42,
Morning Consult,1/14/22,1/16/22,15855,rv,42,44,
Morning Consult,1/13/22,1/15/22,15066,rv,43,44,
Trafalgar Group,1/12/22,1/15/22,1077,lv,42.4,55.6,
Big Village/Opinion Research Corporation,1/12/22,1/14/22,1014,a,39.8,34.7,
Big Village/Opinion Research Corporation,1/12/22,1/14/22,831,rv,42.5,41.6,
Morning Consult,1/12/22,1/14/22,14380,rv,43,43,
Morning Consult,1/11/22,1/13/22,15247,rv,44,42,
Rasmussen Reports/Pulse Opinion Research,1/9/22,1/13/22,2500,lv,39,48,
Morning Consult,1/10/22,1/12/22,16143,rv,44,42,
Morning Consult,1/9/22,1/11/22,17191,rv,44,42,
YouGov,1/8/22,1/11/22,1258,rv,42.4,37.2,
NewsNation,1/10/22,1/10/22,1013,rv,39.7,45.2,
Morning Consult,1/8/22,1/10/22,17859,rv,44,42,
Quinnipiac University,1/7/22,1/10/22,1313,a,42,43,
Quinnipiac University,1/7/22,1/10/22,1178,rv,43,44,
Morning Consult,1/8/22,1/9/22,2000,rv,44,41,
Morning Consult,1/7/22,1/9/22,17656,rv,44,42,
Morning Consult,1/6/22,1/8/22,17491,rv,44,42,
Morning Consult,1/5/22,1/7/22,17674,rv,44,42,
Morning Consult,1/4/22,1/6/22,18263,rv,44,42,
Morning Consult,1/3/22,1/5/22,18487,rv,43,42,
RMG Research,1/3/22,1/4/22,1200,rv,40,42,
YouGov,1/2/22,1/4/22,1201,rv,42.3,37.8,
The Winston Group,1/2/22,1/4/22,1000,rv,44,46,
Morning Consult,1/2/22,1/4/22,18465,rv,43,42,
Morning Consult,1/1/22,1/3/22,18491,rv,43,42,
Morning Consult,12/31/21,1/2/22,18516,rv,43,42,
Morning Consult,12/30/21,1/1/22,18445,rv,43,42,
Morning Consult,12/29/21,12/31/21,18358,rv,43,42,
Morning Consult,12/28/21,12/30/21,18615,rv,43,42,
Suffolk University,12/27/21,12/30/21,1000,rv,38.5,37.3,
Morning Consult,12/27/21,12/29/21,19030,rv,43,43,
Morning Consult,12/26/21,12/28/21,19295,rv,43,43,
Morning Consult,12/25/21,12/27/21,19373,rv,44,42,
Morning Consult,12/24/21,12/26/21,19260,rv,43,42,
Morning Consult,12/23/21,12/25/21,17702,rv,44,42,
Morning Consult,12/22/21,12/24/21,16094,rv,44,42,
Morning Consult,12/21/21,12/23/21,14530,rv,44,42,
Zogby Interactive/JZ Analytics,12/21/21,12/22/21,1311,lv,42.5,42.8,
Morning Consult,12/20/21,12/22/21,14451,rv,44,42,
YouGov,12/19/21,12/21/21,1315,rv,43,36,
Morning Consult,12/19/21,12/21/21,15680,rv,44,42,
Morning Consult,12/18/21,12/20/21,1998,rv,41,41,
Morning Consult,12/18/21,12/20/21,14809,rv,44,42,
Change Research,12/17/21,12/20/21,1895,rv,45,44,
YouGov,12/14/21,12/20/21,1000,a,42,37,
YouGov,12/14/21,12/20/21,900,rv,42,40,
Opinion Savvy/InsiderAdvantage,12/17/21,12/19/21,750,rv,43,48,
Morning Consult,12/17/21,12/19/21,13569,rv,44,42,
Morning Consult,12/16/21,12/18/21,11733,rv,44,41,
John Zogby Strategies/EMI Research Solutions,12/17/21,12/17/21,777,lv,43.5,39.6,
Morning Consult,12/15/21,12/17/21,12021,rv,44,42,
Ipsos,12/13/21,12/17/21,4407,a,40,33,
Morning Consult,12/14/21,12/16/21,13198,rv,44,42,
Morning Consult,12/13/21,12/15/21,14695,rv,44,42,
YouGov,12/12/21,12/14/21,1267,rv,42,38,
Morning Consult,12/12/21,12/14/21,16771,rv,44,42,
Fox News/Beacon Research/Shaw & Co. Research,12/11/21,12/14/21,1002,rv,39,43,
Rasmussen Reports/Pulse Opinion Research,12/8/21,12/14/21,2500,lv,39,48,
Morning Consult,12/11/21,12/13/21,1998,rv,43,42,
Morning Consult,12/11/21,12/13/21,16525,rv,44,42,
Echelon Insights,12/9/21,12/13/21,1020,rv,47,45,
YouGov,12/9/21,12/13/21,1558,a,39,31,
YouGov,12/9/21,12/13/21,1163,rv,44,35,
Morning Consult,12/10/21,12/12/21,15592,rv,44,42,
Morning Consult,12/9/21,12/11/21,13901,rv,44,42,
RMG Research,12/8/21,12/11/21,1200,rv,38,44,
Morning Consult,12/8/21,12/10/21,14260,rv,44,43,
Morning Consult,12/7/21,12/9/21,14575,rv,44,42,
Schoen Cooperman Research,12/2/21,12/9/21,800,lv,45,48,
Morning Consult,12/6/21,12/8/21,15798,rv,44,42,
Morning Consult,12/5/21,12/7/21,17480,rv,44,42,
YouGov,12/4/21,12/7/21,1265,rv,42,39,
Morning Consult,12/4/21,12/6/21,17376,rv,44,41,
Morning Consult,12/4/21,12/6/21,17376,rv,44,42,
Morning Consult,12/3/21,12/5/21,15845,rv,44,42,
Morning Consult,12/2/21,12/4/21,14243,rv,44,41,
NBC News/The Wall Street Journal,12/1/21,12/4/21,800,a,34,44,
Morning Consult,12/1/21,12/3/21,14327,rv,44,41,
Harris Insights & Analytics,11/30/21,12/2/21,1989,rv,50,50,
Morning Consult,11/30/21,12/2/21,15946,rv,44,42,
"Cor Services, Inc.",11/29/21,12/1/21,523,lv,37,45,
Morning Consult,11/29/21,12/1/21,17439,rv,43,42,
RMG Research,11/29/21,11/30/21,1200,rv,35,38,
Morning Consult,11/28/21,11/30/21,18748,rv,43,42,
YouGov,11/27/21,11/30/21,1272,rv,42,37,
Morning Consult,11/27/21,11/29/21,19346,rv,44,42,
Morning Consult,11/26/21,11/28/21,19573,rv,44,42,
Morning Consult,11/25/21,11/27/21,18804,rv,44,42,
Morning Consult,11/24/21,11/26/21,16989,rv,44,42,
Morning Consult,11/23/21,11/25/21,15009,rv,44,42,
Morning Consult,11/22/21,11/24/21,15258,rv,43,42,
Morning Consult,11/21/21,11/23/21,16948,rv,44,42,
YouGov,11/20/21,11/23/21,1249,rv,40,40,
Morning Consult,11/20/21,11/22/21,17606,rv,44,42,
Fabrizio Lee & Associates/Impact Research,11/16/21,11/22/21,1500,rv,41,44,
Morning Consult,11/19/21,11/21/21,15967,rv,44,42,
Public Opinion Strategies,11/18/21,11/21/21,1000,rv,42,40,
Morning Consult,11/18/21,11/20/21,15506,rv,43,42,
YouGov,11/17/21,11/19/21,1696,a,38,32,
YouGov,11/17/21,11/19/21,1307,rv,43,39,
Morning Consult,11/17/21,11/19/21,15183,rv,42,43,
Marist College,11/16/21,11/19/21,969,rv,46,41,
Morning Consult,11/16/21,11/18/21,15988,rv,42,43,
Echelon Insights,11/12/21,11/18/21,1013,rv,46,44,
Echelon Insights,11/12/21,11/18/21,839,lv,49,44,
Morning Consult,11/15/21,11/17/21,17080,rv,44,42,
YouGov,11/14/21,11/16/21,1299,rv,42,38,
Morning Consult,11/14/21,11/16/21,15907,rv,44,42,
McLaughlin & Associates,11/11/21,11/16/21,1000,lv,44,48,
Morning Consult,11/13/21,11/15/21,1998,rv,43,43,
Morning Consult,11/13/21,11/15/21,16502,rv,44,42,
Quinnipiac University,11/11/21,11/15/21,1378,a,38,46,
Quinnipiac University,11/11/21,11/15/21,1262,rv,41,46,
